Sr No,Symbol,Security Name,Market Cap (INR)              
1,RELIANCE,RELIANCE INDUSTRIES LTD  ,7778364790002.30
2,TCS,TATA CONSULTANCY SERV LT ,7557678036354.60
3,HDFCBANK,HDFC BANK LTD            ,5654329400952.75
4,HINDUNILVR,HINDUSTAN UNILEVER LTD.  ,3816817248744.75
5,ITC,ITC LTD                  ,3412085936119.30
6,HDFC,HDFC LTD                 ,3299806436114.70
7,INFY,INFOSYS LIMITED          ,3274488041151.90
8,SBIN,STATE BANK OF INDIA      ,2620705129359.10
9,KOTAKBANK,KOTAK MAHINDRA BANK LTD  ,2394948425194.50
10,ICICIBANK,ICICI BANK LTD.          ,2347095589008.55
11,MARUTI,MARUTI SUZUKI INDIA LTD. ,2006158990469.00
12,AXISBANK,AXIS BANK LIMITED        ,1857249483487.20
13,LT,LARSEN & TOUBRO LTD.     ,1842938125832.70
14,ONGC,OIL AND NATURAL GAS CORP.,1812694469175.00
15,WIPRO,WIPRO LTD                ,1670303321871.60
16,BAJFINANCE,BAJAJ FINANCE LIMITED    ,1488181903841.80
17,HCLTECH,HCL TECHNOLOGIES LTD     ,1399866553500.80
18,COALINDIA,COAL INDIA LTD           ,1394494471613.05
19,ASIANPAINT,ASIAN PAINTS LIMITED     ,1354962798154.00
20,IOC,INDIAN OIL CORP LTD      ,1329061188646.80
21,BHARTIARTL,BHARTI AIRTEL LIMITED    ,1224803392784.80
22,NTPC,NTPC LTD                 ,1151891376680.00
23,HINDZINC,HINDUSTAN ZINC LIMITED   ,1099428003800.00
24,SUNPHARMA,SUN PHARMACEUTICAL IND L ,1015995557625.30
25,POWERGRID,POWER GRID CORP. LTD.    ,986677807612.80
26,BAJAJFINSV,BAJAJ FINSERV LTD.       ,969441274600.90
27,ULTRACEMCO,ULTRATECH CEMENT LIMITED ,966539368994.70
28,INDUSINDBK,INDUSIND BANK LIMITED    ,906423960955.35
29,TITAN,TITAN COMPANY LIMITED    ,884057458128.00
30,DMART,AVENUE SUPERMARTS LIMITED,858022555577.10
31,M&M,MAHINDRA & MAHINDRA LTD  ,845433089547.20
32,DABUR,DABUR INDIA LTD          ,783603210376.65
33,BRITANNIA,BRITANNIA INDUSTRIES LTD ,768465808723.80
34,HDFCLIFE,HDFC LIFE INS CO LTD     ,749491186885.20
35,BPCL,BHARAT PETROLEUM CORP  LT,749368360414.80
36,GAIL,GAIL (INDIA) LTD         ,749021810395.95
37,BAJAJ-AUTO,BAJAJ AUTO LIMITED       ,739202520941.00
38,VEDL,VEDANTA LIMITED          ,733588756706.65
39,GODREJCP,GODREJ CONSUMER PRODUCTS ,725022411892.80
40,TECHM,TECH MAHINDRA LIMITED    ,718135852736.90
41,ADANIPORTS,ADANI PORT & SEZ LTD     ,701327813862.65
42,JSWSTEEL,JSW STEEL LIMITED        ,663768732824.00
43,SBILIFE,SBI LIFE INSURANCE CO LTD,595000000000.00
44,BOSCHLTD,BOSCH LIMITED            ,575367834258.00
45,PIDILITIND,PIDILITE INDUSTRIES LTD  ,568776430230.00
46,SHREECEM,SHREE CEMENT LIMITED     ,547456539707.50
47,INFRATEL,BHARTI INFRATEL LTD.     ,540548009893.50
48,TATASTEEL,TATA STEEL LIMITED       ,537055346908.50
49,TATAMOTORS,TATA MOTORS LIMITED      ,523187583352.80
50,HEROMOTOCO,HERO MOTOCORP LIMITED    ,522056366179.05
51,EICHERMOT,EICHER MOTORS LTD        ,518377079812.50
52,BANDHANBNK,BANDHAN BANK LIMITED     ,481833557128.80
53,GRASIM,GRASIM INDUSTRIES LTD    ,474123318648.00
54,MARICO,MARICO LIMITED           ,473424517966.50
55,HINDALCO,HINDALCO  INDUSTRIES  LTD,468189332272.50
56,AUROPHARMA,AUROBINDO PHARMA LTD     ,461578014370.20
57,INDIGO,INTERGLOBE AVIATION LTD  ,456598442176.40
58,DRREDDY,DR. REDDY'S LABORATORIES ,451777567725.60
59,YESBANK,YES BANK LIMITED         ,448750054978.50
60,HAVELLS,HAVELLS INDIA LIMITED    ,446243647639.50
61,MOTHERSUMI,MOTHERSON SUMI SYSTEMS LT,444005553722.20
62,GICRE,GENERAL INS CORP OF INDIA,427020960000.00
63,AMBUJACEM,AMBUJA CEMENTS LTD       ,416786933567.10
64,CIPLA,CIPLA LTD                ,416643055229.80
65,ICICIPRULI,ICICI PRU LIFE INS CO LTD,410418993893.85
66,UPL,UPL LIMITED              ,400598009955.00
67,DIVISLAB,DIVI'S LABORATORIES LTD  ,399848775196.00
68,ICICIGI,ICICI LOMBARD GIC LIMITED,399690226831.00
69,LUPIN,LUPIN LIMITED            ,396049534108.20
70,MCDOWELL-N,UNITED SPIRITS LIMITED   ,392239578357.00
71,BIOCON,BIOCON LIMITED.          ,388980000000.00
72,IDBI,IDBI BANK LIMITED        ,382742201323.00
73,UBL,UNITED BREWERIES LTD     ,377782076891.20
74,PEL,PIRAMAL ENTERPRISES LTD  ,372110640786.50
75,SIEMENS,SIEMENS LTD              ,366839474675.50
76,ZEEL,ZEE ENTERTAINMENT ENT LTD,365169363300.00
77,HINDPETRO,HINDUSTAN PETROLEUM CORP ,355812582937.50
78,COLPAL,COLGATE PALMOLIVE LTD.   ,348168810083.40
79,PETRONET,PETRONET LNG LIMITED     ,341475020033.20
80,CADILAHC,CADILA HEALTHCARE LIMITED,326522700675.25
81,OFSS,ORACLE FIN SERV SOFT LTD.,325901734319.15
82,PGHH,P&G HYGIENE & HEALTH CARE,321645317840.00
83,CONCOR,CONTAINER CORP OF IND LTD,319513955829.00
84,BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,316858187645.50
85,BERGEPAINT,BERGER PAINTS (I) LTD    ,309517411031.25
86,GSKCONS,GLAXOSMITHKLINE CONSUMER ,308302840747.30
87,TORNTPHARM,TORRENT PHARMACEUTICALS L,307782283136.00
88,NMDC,NMDC LTD.                ,306580986930.60
89,LTI,L&T INFOTECH LIMITED     ,305186105788.20
90,BANKBARODA,BANK OF BARODA           ,297488289043.40
91,DLF,DLF LIMITED              ,294171271163.70
92,HDFCAMC,HDFC AMC LIMITED         ,289458698616.00
93,NIACL,THE NEW INDIA ASSU CO LTD,288152800000.00
94,PNB,PUNJAB NATIONAL BANK     ,287661152775.00
95,IBULHSGFIN,INDIABULLS HSG FIN LTD   ,283624615837.20
96,PFC,POWER FIN CORP LTD.      ,273380429798.40
97,ABB,ABB INDIA LIMITED        ,269611025512.50
98,ACC,ACC LIMITED              ,267286872689.55
99,IDEA,VODAFONE IDEA LIMITED    ,262935140934.20
100,L&TFH,L&T FINANCE HOLDINGS LTD ,262549272997.00
101,PAGEIND,PAGE INDUSTRIES LTD      ,260666035380.00
102,MRF,MRF LTD                  ,259936261555.60
103,NHPC,NHPC LTD                 ,256483012975.00
104,M&MFIN,M&M FIN. SERVICES LTD    ,249885926320.00
105,RECLTD,REC LIMITED              ,246272274600.00
106,RBLBANK,RBL BANK LIMITED         ,241923550767.15
107,KANSAINER,KANSAI NEROLAC PAINTS LTD,240546817022.00
108,GLAXO,GLAXOSMITHKLINE PHARMA LT,238735453414.50
109,ASHOKLEY,ASHOK LEYLAND LTD        ,238658367538.80
110,HAL,HINDUSTAN AERONAUTICS LTD,237716073750.00
111,TVSMOTOR,TVS MOTOR COMPANY  LTD   ,237543557000.00
112,BHEL,BHEL                     ,237539580000.00
113,ADANITRANS,ADANI TRANSMISSION LTD   ,234699471712.20
114,SRTRANSFIN,SHRIRAM TRANSPORT FIN CO.,230365385997.60
115,BHARATFORG,BHARAT FORGE LTD         ,229535195576.00
116,3MINDIA,3M INDIA LIMITED         ,227009184612.00
117,LICHSGFIN,LIC HOUSING FINANCE LTD  ,226517987550.00
118,ALKEM,ALKEM LABORATORIES LTD.  ,225164808000.00
119,CUMMINSIND,CUMMINS INDIA LTD        ,218489040000.00
120,IDFCFIRSTB,IDFC FIRST BANK LIMITED  ,216124776500.80
121,FRETAIL,FUTURE RETAIL LIMITED    ,215966549238.30
122,NAUKRI,INFO EDGE (I) LTD        ,213379670428.65
123,GILLETTE,GILLETTE INDIA LTD       ,211805539760.85
124,SUNTV,SUN TV NETWORK LIMITED   ,208904257062.00
125,BEL,BHARAT ELECTRONICS LTD   ,203820999681.95
126,MUTHOOTFIN,MUTHOOT FINANCE LIMITED  ,199885769025.95
127,IGL,INDRAPRASTHA GAS LTD     ,198485226840.00
128,SAIL,STEEL AUTHORITY OF INDIA ,194134688583.00
